country,lat,lng,category,value,description,,,
Bolivia,-16.29,-63.59,climate,52,Glaciers feeding La Paz's water supply are disappearing; droughts and floods are intensifying.,,,
Bosnia and Herzegovina,43.92,17.68,food_insecurity,15,Food generally accessible; economic stagnation creates pockets of rural food poverty.,,,
Bosnia and Herzegovina,43.92,17.68,poverty,22,About 16% below the poverty line; political deadlock has blocked economic development.,,,
Bosnia and Herzegovina,43.92,17.68,disease,18,Cardiovascular disease dominates; aging population and smoking rates are high.,,,
Bosnia and Herzegovina,43.92,17.68,climate,28,Flooding and wildfire risk increasing; 2014 floods were the worst in 120 years.,,,
Botswana,-22.33,24.68,food_insecurity,25,Drought stress affects subsistence farmers; food imports fill the gap for most of the population.,,,
Botswana,-22.33,24.68,poverty,38,About 16% in extreme poverty despite middle-income status; inequality is very high (Gini ~53).,,,
Botswana,-22.33,24.68,disease,58,HIV prevalence at 20.3%; one of the world's highest rates despite strong treatment programs.,,,
Botswana,-22.33,24.68,climate,55,Southern Africa's drying trend is severe; drought is threatening water and food systems.,,,
Brazil,-14.24,-51.93,food_insecurity,25,33 million food insecure after pandemic; Bolsa Família expansion has reduced numbers since.,,,
Brazil,-14.24,-51.93,poverty,35,About 30% in moderate poverty; extreme inequality (Gini ~52) concentrates deprivation.,,,
Brazil,-14.24,-51.93,disease,30,Dengue at epidemic levels in 2024; TB and HIV concentrated in urban peripheries.,,,
Brazil,-14.24,-51.93,climate,45,Amazon deforestation drives regional climate disruption; southern flooding and northern drought.,,,
Brunei,4.54,114.73,food_insecurity,8,Wealthy oil state with subsidized food; high import dependency managed through financial reserves.,,,
Brunei,4.54,114.73,poverty,5,Very low poverty; high per capita income from hydrocarbons subsidizes living standards.,,,
Brunei,4.54,114.73,disease,10,Low burden; non-communicable diseases related to high meat and sugar consumption dominate.,,,
Brunei,4.54,114.73,climate,35,Sea-level rise and flooding are growing concerns for this low-lying coastal state.,,,
Bulgaria,42.73,25.49,food_insecurity,10,Relatively food secure; aging rural population faces access issues.,,,
Bulgaria,42.73,25.49,poverty,18,About 23% at risk of poverty; one of the EU's poorest members by per capita GDP.,,,
Bulgaria,42.73,25.49,disease,20,Cardiovascular disease is the leading killer; smoking rates are among Europe's highest.,,,
Bulgaria,42.73,25.49,climate,30,Wildfire risk increasing; Danube flooding and Black Sea erosion are worsening.,,,
Burkina Faso,12.36,-1.53,food_insecurity,72,Armed group activity has displaced 2 million people, cutting off farming communities from land.,,
Burkina Faso,12.36,-1.53,poverty,66,Over 40% live below $1.90/day; conflict has accelerated poverty in the north.,,,
Burkina Faso,12.36,-1.53,disease,72,Malaria is the leading killer; healthcare system near-collapsed in conflict zones.,,,
Burkina Faso,12.36,-1.53,climate,65,Sahel desertification is advancing; rainfall unpredictability destroys pastoralist livelihoods.,,,
Burundi,-3.37,29.92,food_insecurity,65,Chronic food insecurity affects 3 million; subsistence agriculture is highly vulnerable to shocks.,,,
Burundi,-3.37,29.92,poverty,82,75% live below $1.90/day; one of the world's poorest countries with virtually no safety net.,,,
Burundi,-3.37,29.92,disease,68,High malaria mortality; rising HIV prevalence; lowest doctor-to-patient ratio globally.,,,
Burundi,-3.37,29.92,climate,55,Lake Tanganyika flooding and drought cycles devastate subsistence agriculture.,,,
Cabo Verde,16,-24.01,food_insecurity,22,Small island state highly vulnerable to import shocks; drought limits domestic production.,,,
Cabo Verde,16,-24.01,poverty,35,About 35% below the national poverty line; remittances are a key coping mechanism.,,,
Cabo Verde,16,-24.01,disease,25,Moderate burden; dengue and respiratory infections are primary concerns.,,,
Cabo Verde,16,-24.01,climate,60,Desertification and water scarcity are existential challenges; drought is endemic.,,,
Cambodia,12.56,104.99,food_insecurity,38,Rural food insecurity persists due to land inequality and limited nutritional diversity.,,,
Cambodia,12.56,104.99,poverty,33,Strong growth has reduced extreme poverty but rural and informal workers remain vulnerable.,,,
Cambodia,12.56,104.99,disease,34,TB is a major burden; dengue and malaria affect rural communities.,,,
Cambodia,12.56,104.99,climate,57,Mekong disruption from upstream dams worsens flooding and saltwater intrusion downstream.,,,
Cameroon,7.37,12.35,food_insecurity,48,Anglophone crisis and Far North insurgency drive food insecurity for 3 million people.,,,
Cameroon,7.37,12.35,poverty,55,About 37% below $1.90/day; Anglophone regions face compounded crisis poverty.,,,
Cameroon,7.37,12.35,disease,65,HIV prevalence at 3.4%; malaria and preventable diseases kill tens of thousands annually.,,,
Cameroon,7.37,12.35,climate,55,Northern desertification and southern flooding affect different regions simultaneously.,,,
Canada,56.13,-106.35,food_insecurity,5,Food bank usage has risen post-pandemic but food insecurity remains low nationally.,,,
Canada,56.13,-106.35,poverty,8,About 12% below the poverty line; Indigenous communities face significantly higher rates.,,,
Canada,56.13,-106.35,disease,7,Low burden; opioid crisis is a major public health emergency causing 20,000 deaths/year.,,
Canada,56.13,-106.35,climate,30,Wildfires in 2023 burned record 18 million hectares; Arctic warming at 3x global average.,,,
Central African Republic,6.61,20.94,food_insecurity,79,Nearly half the population acutely food insecure amid ongoing armed conflict and displacement.,,,
Central African Republic,6.61,20.94,poverty,80,Per capita income among world's lowest; conflict prevents any meaningful economic development.,,,
Central African Republic,6.61,20.94,disease,87,Worst healthcare system globally; malaria, HIV, and TB rates are among the world's highest.,
Central African Republic,6.61,20.94,climate,50,Irregular rainfall threatens subsistence farming for most of the population.,,,
Chad,15.45,18.73,food_insecurity,74,Chronic drought, refugee influx from Sudan, and conflict leave 4 million in emergency hunger.,
Chad,15.45,18.73,poverty,78,Lowest healthcare expenditure globally; 42% in extreme poverty with no access to basic services.,,,
Chad,15.45,18.73,disease,82,Lowest healthcare expenditure globally; sleeping sickness, malaria, and measles are endemic.,
Chad,15.45,18.73,climate,72,Lake Chad has shrunk 90% since 1960; desertification is displacing millions across the basin.,,,
Chile,-35.68,-71.54,food_insecurity,10,Generally food secure; inequality means pockets of food poverty exist in rural and urban peripheries.,,,
Chile,-35.68,-71.54,poverty,15,About 10% below the poverty line; one of Latin America's stronger social protection systems.,,,
Chile,-35.68,-71.54,disease,12,Low burden; non-communicable diseases are the dominant health challenge.,,,
Chile,-35.68,-71.54,climate,38,Mega-drought in central Chile is in its 14th year; wildfires are intensifying annually.,,,
China,35.86,104.2,food_insecurity,12,Food security is a state priority; rural-urban inequality creates localized nutritional challenges.,,,
China,35.86,104.2,poverty,18,Extreme poverty officially eliminated in 2021; relative poverty and inequality remain significant.,,,
China,35.86,104.2,disease,20,Air pollution drives respiratory disease; TB burden is the world's third highest.,,,
China,35.86,104.2,climate,45,Extreme floods in 2023; Yellow River drought; typhoon intensity increasing on the eastern coast.,,,
Colombia,4.57,-74.3,food_insecurity,25,Internal displacement from FARC remnants affects rural food access; Venezuela refugee influx strains resources.,,,
Colombia,4.57,-74.3,poverty,38,About 36% in moderate poverty; regions with armed group presence face acute deprivation.,,,
Colombia,4.57,-74.3,disease,28,Moderate burden; dengue outbreaks are worsening; HIV concentrated in urban centers.,,,
Colombia,4.57,-74.3,climate,50,El Niño-driven drought and La Niña flooding alternate; Amazon deforestation accelerating.,,,
Comoros,-11.64,43.33,food_insecurity,45,Cyclone exposure and limited land drive chronic food insecurity for a third of the population.,,,
Comoros,-11.64,43.33,poverty,55,About 42% below the national poverty line; high youth unemployment and limited economic base.,,,
Comoros,-11.64,43.33,disease,55,High child mortality from preventable diseases; malaria and waterborne illness are primary burdens.,,,
Comoros,-11.64,43.33,climate,65,Rising sea levels and cyclone intensity threaten the low-lying island nation.,,,
Congo (Republic),4.06,21.76,food_insecurity,42,Pool Department conflict and economic stagnation drive food insecurity for 1.7 million people.,,,
Congo (Republic),4.06,21.76,poverty,52,About 37% in extreme poverty despite oil revenues; wealth is highly concentrated.,,,
Congo (Republic),4.06,21.76,disease,60,High HIV, TB, and malaria burden; healthcare access outside Brazzaville is extremely limited.,
Congo (Republic),4.06,21.76,climate,48,Flooding and deforestation are increasing vulnerability across the Congo Basin.,,,
Costa Rica,9.75,-83.75,food_insecurity,12,Generally food secure; economic inequality creates urban and rural food poverty pockets.,,,
Costa Rica,9.75,-83.75,poverty,18,About 20% in poverty; strong social programs limit extreme deprivation.,,,
Costa Rica,9.75,-83.75,disease,15,Low burden; non-communicable diseases dominate; dengue is seasonal.,,,
Costa Rica,9.75,-83.75,climate,45,Flooding and drought damage agricultural output; Caribbean coast is hurricane-exposed.,,,
Croatia,45.1,15.2,food_insecurity,8,Low food insecurity; EU membership provides price stability and social safety nets.,,,
Croatia,45.1,15.2,poverty,12,About 18% at risk of poverty; post-war regional inequality persists in eastern Croatia.,,,
Croatia,45.1,15.2,disease,12,Cardiovascular disease dominates; aging population is a growing health challenge.,,,
Croatia,45.1,15.2,climate,28,Adriatic coast wildfires are intensifying; flooding in Slavonia is increasing.,,,
Cuba,21.52,-79.02,food_insecurity,28,US sanctions and the collapse of Venezuelan support have caused severe food shortages since 2020.,,,
Cuba,21.52,-79.02,poverty,20,Socialist system provides basics but economic crisis has driven purchasing power to historic lows.,,,
Cuba,21.52,-79.02,disease,20,Strong healthcare system but medicine shortages are severe; dengue and respiratory disease rising.,,,
Cuba,21.52,-79.02,climate,52,Hurricane Ian caused catastrophic damage in 2022; power grid still partially collapsed.,,,
Cyprus,35.13,33.43,food_insecurity,6,EU member; food secure; Turkish-occupied north faces more limited access to services.,,,
Cyprus,35.13,33.43,poverty,10,About 14% at risk of poverty; migrant workers face significantly higher rates.,,,
Cyprus,35.13,33.43,disease,8,Low burden; non-communicable diseases are the primary concern.,,,
Cyprus,35.13,33.43,climate,38,Eastern Mediterranean drying is severe; water scarcity affects agriculture and urban supply.,,,
Czech Republic,49.82,15.47,food_insecurity,4,Highly food secure; rising prices post-Ukraine war created short-term access challenges for the poor.,,,
Czech Republic,49.82,15.47,poverty,8,About 10% at risk of poverty; one of the EU's more equal income distributions.,,,
Czech Republic,49.82,15.47,disease,10,Cardiovascular disease is the leading killer; smoking rates are above EU average.,,,
Czech Republic,49.82,15.47,climate,22,Severe drought affected Czech forests in 2018-2020; bark beetle devastation of spruce forests.,,,
Democratic Republic of Congo,-4.03,21.76,food_insecurity,75,The world's largest food crisis — 26 million acutely food insecure across eastern conflict zones.,,,
Democratic Republic of Congo,-4.03,21.76,poverty,79,73% live below $2.15/day despite vast mineral wealth; structural inequality and conflict are key drivers.,,,
Democratic Republic of Congo,-4.03,21.76,disease,85,Repeated Ebola outbreaks; world's highest malaria burden; dysfunctional health system.,,,
Democratic Republic of Congo,-4.03,21.76,climate,55,Flash flooding and landslides kill hundreds annually; Congo Basin faces rising climate instability.,,,
Denmark,56.26,9.5,food_insecurity,3,One of the world's most food-secure nations; strong welfare and agricultural systems.,,,
Denmark,56.26,9.5,poverty,6,Low poverty; about 12% at risk by EU metrics; strong social safety net.,,,
Denmark,56.26,9.5,disease,5,Very low burden; aging population; excellent universal healthcare.,,,
Denmark,56.26,9.5,climate,18,Coastal flooding risk is rising; North Sea storms are intensifying.,,,
Djibouti,11.83,42.59,food_insecurity,52,Over 40% food insecure; dependent on food imports through a port-dependent economy.,,,
Djibouti,11.83,42.59,poverty,58,About 21% in extreme poverty; drought and urban poverty are structural challenges.,,,
Djibouti,11.83,42.59,disease,60,High TB and HIV burden; cholera outbreaks occur regularly; healthcare capacity is minimal.,,,
Djibouti,11.83,42.59,climate,62,Extreme heat and drought are endemic; the country is among the most water-stressed in the world.,,,
Dominica,15.41,-61.37,food_insecurity,15,Hurricane Maria devastated the island in 2017; agricultural recovery is ongoing.,,,
Dominica,15.41,-61.37,poverty,25,About 29% below the poverty line; post-hurricane reconstruction has been slow.,,,
Dominica,15.41,-61.37,disease,18,Low burden; dengue and leptospirosis are seasonal health concerns.,,,
Dominica,15.41,-61.37,climate,72,Self-described as the world's most vulnerable country to climate change; Category 5 hurricane risk is existential.,,,
Dominican Republic,18.74,-70.16,food_insecurity,18,Food generally accessible but chronic malnutrition persists among the rural poor and Haitian migrants.,,,
Dominican Republic,18.74,-70.16,poverty,30,About 23% below the poverty line; inequality is high and regional disparities are significant.,,,
Dominican Republic,18.74,-70.16,disease,25,Moderate burden; HIV rates remain elevated; dengue is endemic.,,,
Dominican Republic,18.74,-70.16,climate,58,High hurricane exposure; flooding, drought, and sea-level rise threaten coastal communities.,
Ecuador,-1.83,-78.18,food_insecurity,20,Food generally available; economic crisis and gang violence in coastal cities disrupt food access.,,,
Ecuador,-1.83,-78.18,poverty,35,About 25% below the national poverty line; Amazonian Indigenous communities face highest rates.,,,
Ecuador,-1.83,-78.18,disease,25,TB and dengue are primary concerns; healthcare inequity is significant.,,,
Ecuador,-1.83,-78.18,climate,48,El Niño flooding devastated crops in 2023; Galápagos and Amazon ecosystems under severe stress.,,,
Egypt,26.82,30.8,food_insecurity,28,Currency crisis and wheat import dependency following Ukraine war caused severe price shocks.,,,
Egypt,26.82,30.8,poverty,32,About 30% below the national poverty line; Upper Egypt faces the highest rates.,,,
Egypt,26.82,30.8,disease,28,Hepatitis C has the world's highest prevalence; TB and schistosomiasis are ongoing concerns.,,,
Egypt,26.82,30.8,climate,52,Nile Delta faces severe saltwater intrusion and sea-level rise; Sinai desertification accelerating.,,,
El Salvador,13.79,-88.9,food_insecurity,22,Chronic malnutrition persists in rural areas; gang violence limits food supply chain security.,,,
El Salvador,13.79,-88.9,poverty,35,About 22% below the poverty line; emigration is a primary poverty-coping strategy.,,,
El Salvador,13.79,-88.9,disease,25,Dengue and chikungunya are endemic; kidney disease from agricultural chemical exposure affects rural workers.,,,
El Salvador,13.79,-88.9,climate,55,Drought in the Dry Corridor; Hurricane flooding; coffee and sugar crops threatened by temperature rise.,,,
Equatorial Guinea,1.65,10.27,food_insecurity,30,Oil wealth masks underlying food insecurity; rural subsistence farmers face access challenges.,,,
Equatorial Guinea,1.65,10.27,poverty,45,Despite high per capita GDP from oil, 60% of the population lives in poverty due to extreme inequality.,,
Equatorial Guinea,1.65,10.27,disease,60,High malaria burden; HIV at 7.3%; healthcare access outside Malabo is negligible.,,,
Equatorial Guinea,1.65,10.27,climate,45,Coastal erosion and flooding threaten the island capital Malabo.,,,
Eritrea,15.18,39.78,food_insecurity,55,Chronic food insecurity from drought cycles; remittances and military conscription distort the economy.,,,
Eritrea,15.18,39.78,poverty,62,Among the poorest countries globally; economic data limited by government opacity.,,,
Eritrea,15.18,39.78,disease,65,High TB and malaria burden; healthcare system severely constrained by governance.,,,
Eritrea,15.18,39.78,climate,63,Severe drought cycles devastate subsistence farming; limited capacity to adapt or respond.,,,
Estonia,58.6,25.01,food_insecurity,5,EU member; food secure; some poverty-related food stress among elderly populations.,,,
Estonia,58.6,25.01,poverty,10,About 17% at risk of poverty; elderly and rural populations face the highest rates.,,,
Estonia,58.6,25.01,disease,10,Cardiovascular disease and cancer dominate; alcohol-related mortality is above EU average.,,,
Estonia,58.6,25.01,climate,18,Coastal erosion and Baltic Sea warming are primary climate vulnerabilities.,,,
Eswatini,-26.52,31.47,food_insecurity,35,Drought regularly triggers food crises; 25% of children are stunted.,,,
Eswatini,-26.52,31.47,poverty,52,About 59% below the poverty line; extremely high inequality (Gini ~54).,,,
Eswatini,-26.52,31.47,disease,70,HIV prevalence at 26.8% — the world's highest; TB co-infection is rampant.,,,
Eswatini,-26.52,31.47,climate,50,Recurring drought is intensifying under southern Africa's drying trend.,,,
Ethiopia,9.14,40.49,food_insecurity,73,Tigray conflict and repeated droughts left millions dependent on emergency food assistance.,,,
Ethiopia,9.14,40.49,poverty,61,High economic growth has not reached rural farmers; Tigray conflict has reversed recent gains.,,,
Ethiopia,9.14,40.49,disease,66,High TB and malaria burden; health system severely strained by the Tigray war.,,,
Ethiopia,9.14,40.49,climate,61,Four consecutive failed rainy seasons caused the worst drought in 40 years.,,,
Fiji,-17.71,178.07,food_insecurity,18,Rural food security is vulnerable to cyclone disruption; nutrition quality issues in informal settlements.,,,
Fiji,-17.71,178.07,poverty,28,About 30% below the poverty line; economic recovery from COVID-19 collapse of tourism is ongoing.,,,
Fiji,-17.71,178.07,disease,22,Non-communicable diseases at crisis levels; diabetes and obesity rates are among the world's highest.,,,
Fiji,-17.71,178.07,climate,78,Rising sea levels and intensifying cyclones threaten low-lying islands and freshwater supplies.,,,
Finland,61.92,25.75,food_insecurity,3,One of the world's most food-secure nations; strong agricultural system and welfare state.,,,
Finland,61.92,25.75,poverty,6,Low poverty; about 12% at risk; strong social safety net prevents extreme deprivation.,,,
Finland,61.92,25.75,disease,5,Low burden; cardiovascular disease rates are declining with strong public health programs.,,,
Finland,61.92,25.75,climate,15,Arctic warming is disrupting indigenous Sami reindeer herding; permafrost thaw accelerating.,,,
France,46.23,2.21,food_insecurity,5,Generally food secure; food bank demand rose 30% post-pandemic among the working poor.,,,
France,46.23,2.21,poverty,10,About 15% at risk of poverty; strong welfare system contains extreme deprivation.,,,
France,46.23,2.21,disease,8,Low burden; aging population and cancer are primary concerns.,,,
France,46.23,2.21,climate,25,Record heatwaves; Loire valley flooding; southern drought threatening wine and agriculture.,,,
Gabon,-0.8,11.61,food_insecurity,25,Oil revenues cushion food access; rural interior faces access challenges from poor infrastructure.,,,
Gabon,-0.8,11.61,poverty,38,About 33% in poverty despite oil wealth; coup in 2023 has increased economic uncertainty.,,,
Gabon,-0.8,11.61,disease,55,High malaria burden; HIV at 3.4%; healthcare access outside Libreville is limited.,,,
Gabon,-0.8,11.61,climate,45,Deforestation and coastal erosion are growing concerns; the Congo rainforest buffer is shrinking.,,,
Gambia,13.44,-15.31,food_insecurity,48,Over 30% food insecure; drought and remittance dependency create chronic vulnerability.,,,
Gambia,13.44,-15.31,poverty,60,About 48% below $1.90/day; one of West Africa's poorest countries.,,,
Gambia,13.44,-15.31,disease,62,High malaria burden; TB rates are elevated; healthcare system is severely under-resourced.,,,
Gambia,13.44,-15.31,climate,58,Coastal erosion is devastating fishing communities; saltwater intrusion destroys farmland.,,,
Georgia,42.32,43.36,food_insecurity,18,Food generally accessible; economic pressure from Russian-related shocks affects the poor.,,,
Georgia,42.32,43.36,poverty,28,About 20% below the poverty line; Abkhazia and South Ossetia complicate national statistics.,,,
Georgia,42.32,43.36,disease,22,TB rates are above regional average; cardiovascular disease is the leading killer.,,,
Georgia,42.32,43.36,climate,38,Glacial retreat in the Caucasus threatens water supplies; flooding and landslides are increasing.,,,
Germany,51.17,10.45,food_insecurity,4,Highly food secure; food bank demand has increased sharply with inflation but baseline is secure.,,,
Germany,51.17,10.45,poverty,9,About 16% at risk of poverty; immigrant communities face higher rates.,,,
Germany,51.17,10.45,disease,7,Low burden; aging population drives chronic disease prevalence.,,,
Germany,51.17,10.45,climate,20,Ahr Valley flooding (2021) killed 180; drought-driven Rhine low water disrupts shipping.,,,
Ghana,-7.95,-1.02,food_insecurity,30,Northern Ghana faces seasonal food stress; economic crisis has reduced purchasing power.,,,
Ghana,-7.95,-1.02,poverty,42,About 24% below $1.90/day; northern savannah regions have the highest rates.,,,
Ghana,-7.95,-1.02,disease,52,Malaria is the leading outpatient diagnosis; TB and HIV remain significant burdens.,,,
Ghana,-7.95,-1.02,climate,55,Coastal erosion removing 2m of shoreline per year; drought in the north is intensifying.,,,
